environment,reference_arm,comparison_arm,window,reference_window,comparison_window,design,metric,field,contrast,n_seed,seed_median,ci95_low,ci95_high
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_target_change_fraction,difference,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_target_change_fraction,ratio,0,,,
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_target_change_energy,difference,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_target_change_energy,ratio,0,,,
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_learner_input_mean_shift_sq,difference,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_learner_input_mean_shift_sq,ratio,0,,,
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_original_context_mean_shift_sq,difference,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_original_context_mean_shift_sq,ratio,5,1.0,1.0,1.0
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_task_start_mse,difference,5,-8.261895757186725e-05,-0.0004016073528646302,0.00013451458934241598
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_task_start_mse,ratio,5,0.7976093787460538,0.6480487085852944,1.5632483138433166
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_mse,difference,5,-0.0001615316089782936,-0.0005007221376899906,0.00016686003040149446
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_mse,ratio,5,0.6717294784939204,0.6414596937334911,1.8010159151110618
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_task_mse_gain,difference,5,1.5253394940373255e-05,-3.234544105907844e-05,9.911478482536041e-05
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_task_mse_gain,ratio,5,0.012867697251352266,-0.07951378228139333,16.313249774040703
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_task_start_acc,difference,0,,,
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_task_start_acc,ratio,0,,,
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_train_acc,difference,0,,,
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_train_acc,ratio,0,,,
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_task_accuracy_gain,difference,0,,,
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_task_accuracy_gain,ratio,0,,,
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_grad_w1_start_norm,difference,0,,,
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_grad_w1_start_norm,ratio,0,,,
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_grad_w1_end_norm,difference,0,,,
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_grad_w1_end_norm,ratio,0,,,
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_grad_w2_start_norm,difference,0,,,
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_grad_w2_start_norm,ratio,0,,,
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_grad_w2_end_norm,difference,0,,,
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_grad_w2_end_norm,ratio,0,,,
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_adaptive_alpha_median,difference,0,,,
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_adaptive_alpha_median,ratio,0,,,
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_adaptive_alpha_clip_frac,difference,0,,,
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_adaptive_alpha_clip_frac,ratio,0,,,
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_adaptive_alpha_median_l1,difference,0,,,
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_adaptive_alpha_median_l1,ratio,0,,,
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_adaptive_alpha_clip_frac_l1,difference,0,,,
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_adaptive_alpha_clip_frac_l1,ratio,0,,,
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,raw,late_adaptive_alpha_median_l2,difference,0,,,
