geometry,optimizer,window,metric,n_seed,n_valid,paired_ratio_seed_median,paired_ratio_seed_min,paired_ratio_seed_max
dup64,sgd,early,D_div_sqrt_trace,5,5,0.9939494970258106,0.9790451997458413,0.9987613377189092
dup64,sgd,early,D_eff,5,5,1.9878989940516207,1.9580903994916825,1.9975226754378184
dup64,sgd,early,R,5,5,1.6578012994895852,1.6185984103998952,1.7676896211418502
dup64,sgd,early,R_div_sqrt_d,5,5,0.8289006497447925,0.8092992051999475,0.8838448105709251
dup64,sgd,early,R_div_sqrt_trace,5,5,0.8289006497447925,0.8092992051999475,0.8838448105709252
dup64,sgd,early,delta_W_RMS,5,5,0.518128539782309,0.5103331043915805,0.5232895595786194
dup64,sgd,early,raw_W_RMS,5,5,0.4961690067816973,0.4827061362345859,0.5013570302385137
dup64,sgd,late,A_displacement,5,5,1.984651505198914,1.9662994783416738,2.0644063586256665
dup64,sgd,late,A_width,5,5,1.591308817121228,1.5743841500717257,1.6102602425884405
dup64,sgd,late,D_div_sqrt_d,5,5,1.0105431965101452,0.9738016090991776,1.0588693574985542
dup64,sgd,late,D_div_sqrt_trace,5,5,1.0105431965101455,0.9738016090991777,1.0588693574985542
dup64,sgd,late,D_eff,5,5,2.0210863930202905,1.9476032181983556,2.1177387149971088
dup64,sgd,late,R,5,5,1.7641877222867144,1.7424638649769277,1.7951921261909358
dup64,sgd,late,R_div_sqrt_d,5,5,0.8820938611433574,0.8712319324884639,0.897596063095468
dup64,sgd,late,R_div_sqrt_trace,5,5,0.8820938611433573,0.871231932488464,0.897596063095468
dup64,sgd,late,delta_W_RMS,5,5,0.5076433113939611,0.49840851079961485,0.5142273825651027
dup64,sgd,late,raw_W_RMS,5,5,0.5581648358292656,0.5497855713913743,0.5610414945904396
dup64_half,adam,early,A_displacement,5,5,2.1116265036354087,2.0646388367271737,2.189143552170955
dup64_half,adam,early,A_width,5,5,1.906741733097667,1.8747988013218504,1.9249991998411207
dup64_half,adam,early,D_div_sqrt_d,5,5,0.9731223837917358,0.9496245370041682,0.9840947547343424
dup64_half,adam,early,D_div_sqrt_trace,5,5,1.9462447675834713,1.8992490740083363,1.9681895094686845
dup64_half,adam,early,D_eff,5,5,1.9462447675834718,1.899249074008336,1.9681895094686848
dup64_half,adam,early,R,5,5,1.8902730790221889,1.874137783053947,1.9059764586163057
dup64_half,adam,early,R_div_sqrt_d,5,5,0.9451365395110944,0.9370688915269736,0.9529882293081527
dup64_half,adam,early,R_div_sqrt_trace,5,5,1.8902730790221887,1.874137783053947,1.9059764586163055
dup64_half,adam,early,delta_W_RMS,5,5,0.9180621310984279,0.9063245755066597,0.9352054746807398
dup64_half,adam,early,raw_W_RMS,5,5,0.9898311007973767,0.978185453103541,1.002282115250772
dup64_half,adam,late,A_displacement,5,5,2.143190814478538,2.0968016624875374,2.178968098710544
dup64_half,adam,late,A_width,5,5,1.9691147047403756,1.897908421045785,1.9842878532509651
dup64_half,adam,late,D_div_sqrt_d,5,5,0.9649805319514645,0.9539751878421816,0.9869499496520149
dup64_half,adam,late,D_div_sqrt_trace,5,5,1.929961063902929,1.9079503756843632,1.97389989930403
