arm,iv,seed,task,mean,q10,q50,q90,within,between,star,star_W,bias
LR,none,1,37,-2.7080856160234474,-4.69974921190339,-3.0696679652892978,-0.3907151315250917,3.923662200646756,3.306459151499028,-2.449110958904738,-2.462512387526466,0.0134014286217279
LR,none,1,38,-2.5424283479954863,-5.006597778812032,-3.007250428994344,0.5835988358606359,3.941675417683484,4.325381707234654,-2.502207139241812,-2.5139109923134786,0.0117038530716672
LR,none,1,39,-2.7195279509207024,-5.119487825806207,-3.1387272143735614,0.2993470931431322,4.062158145770593,4.694612537578297,-2.558958319661135,-2.569807032485653,0.0108487128245178
LR,none,1,40,-2.4855497035919067,-4.952901658400589,-2.883890218306369,0.3544358528221173,4.119196702544649,4.378612484786311,-2.5812281544704474,-2.5906787927134447,0.0094506382429972
LR,none,1,41,-2.681922791206877,-5.142632499475923,-2.737374091925699,0.289126461225796,4.07377444693979,4.158723139754886,-2.563778543293799,-2.573688492177377,0.0099099488835781
LR,none,1,42,-2.575850609734577,-4.666127744394416,-2.807613759087513,-0.0158512311643128,4.079778818991603,4.047634806343057,-2.5325452826900414,-2.540873188670446,0.0083279059804044
LR,none,1,43,-2.501214260917504,-4.754923492273548,-2.7400771790051266,0.323527683900759,4.2691449969953,4.751091885024239,-2.514298683315908,-2.521730172319264,0.0074314890033565
LR,none,1,44,-2.532545922088058,-4.855401767634148,-2.7872485567326333,0.1925611504496915,4.26647521568278,4.63160601434905,-2.545994593806342,-2.548040477463753,0.0020458836574107
LR,none,1,45,-2.518703446688783,-4.627049175353064,-2.7815009413210703,0.264007849289904,4.187893473725591,4.388079946247281,-2.6191630185390857,-2.6172322993243613,-0.0019307192147243
LR,none,1,46,-2.7790587632483823,-5.470236302956908,-3.3252928617311626,0.3039509898889772,4.538628168240737,5.039988257812039,-2.671813904086773,-2.668379991575091,-0.0034339125116821
LR,none,1,47,-2.7365274899430925,-5.254220444016011,-3.238303310781374,0.25584598537753,4.315861974642171,5.476283364528557,-2.666164865999058,-2.662929272227816,-0.0032355937712418
LR,none,1,48,-2.609337259951123,-5.135688848572238,-2.7074472906753644,0.108953869526122,4.663186694119228,4.361089987023619,-2.577107990269909,-2.5715812705520182,-0.0055267197178909
LR,none,1,49,-2.771846055849065,-5.42677816369664,-2.679442872996058,0.2882156427614639,4.8339800757055,5.019202878062512,-2.5197062049842263,-2.5126618246025227,-0.0070443803817033
LR,none,1,50,-2.56712345738838,-4.996290902870603,-2.713821287009451,0.3162724112092652,4.472058199614087,4.540173180366211,-2.578500233089421,-2.568921163312029,-0.0095790697773918
LR,none,1,51,-2.9638867994849,-5.837767440666243,-3.1156159478668526,-0.1438109268247067,4.724769355367606,4.978221213981124,-2.6616514021128794,-2.6475062012043464,-0.0141452009085332
LR,none,1,52,-2.827940722724457,-5.199581193362672,-3.171754744052791,0.0305243152642216,4.782871212361207,4.818892155872709,-2.719380675723068,-2.702411289040456,-0.0169693866826128
LR,none,1,53,-2.9547491345791705,-5.1917455616659645,-3.211406656178688,0.0012225112603807,4.956215777169542,4.387335055822635,-2.761108007066735,-2.742046912730524,-0.0190610943362116
